,date,item,category,avg_daily_amount_usd,avg_usdkrw,avg_daily_amount_krw
160,2021-06-20,선박,수출,61326285.71428572,1125.29,69009856051.42857
161,2021-07-20,선박,수출,78468571.42857143,1146.0585714285714,89929578873.46939
162,2021-08-20,선박,수출,38983733.33333333,1167.7962499999999,45525057597.66666
163,2021-09-20,선박,수출,36293357.14285714,1175.4733333333334,42661873498.57143
164,2021-10-20,선박,수출,100658928.57142857,1184.8450000000003,119265228223.21431
165,2021-11-20,선박,수출,208490600.0,1182.6842857142858,246578556339.14288
166,2021-12-20,선박,수출,54381928.571428575,1186.365,64516816689.64286
167,2022-01-20,선박,수출,33531857.142857146,1189.6987499999998,39892808528.03571
168,2022-02-20,선박,수출,76544071.42857143,1197.385,91652722967.5
169,2022-03-20,선박,수출,49663857.14285714,1227.4550000000002,60960149769.28572
170,2022-04-20,선박,수출,47222142.85714286,1231.5475,58156311980.35714
171,2022-05-20,선박,수출,79300133.33333333,1275.82625,101173191735.16667
172,2022-06-20,선박,수출,50302428.571428575,1288.3633333333335,64807804549.04763
173,2022-07-20,선박,수출,79814000.0,1311.4275,104670274485.0
174,2022-08-20,선박,수출,47714928.571428575,1315.0485714285714,62747448653.67348
175,2022-09-20,선박,수출,47676928.571428575,1389.44,66244231634.28572
176,2022-10-20,선박,수출,70778571.42857143,1430.9812500000003,101282808616.07146
177,2022-11-20,선박,수출,63963857.14285714,1328.7966666666666,84994960158.57143
178,2022-12-20,선박,수출,70270214.28571428,1300.5157142857145,91387517924.79593
179,2023-01-20,선박,수출,67700533.33333334,1237.07375,83750552647.66669
180,2023-02-20,선박,수출,93374500.0,1285.0633333333333,119992146218.33333
181,2023-03-20,선박,수출,20791923.07692308,1304.625,27125662644.230774
182,2023-04-20,선박,수출,95359928.57142857,1317.67,125652917080.7143
183,2023-05-20,선박,수출,30786933.333333336,1334.972857142857,41099720354.666664
184,2023-06-20,선박,수출,138491384.61538464,1277.5557142857142,176930459794.72528
185,2023-07-20,선박,수출,83934076.92307693,1271.57375,106728368945.86539
186,2023-08-20,선박,수출,79601307.69230768,1337.1966666666667,106442603308.46153
187,2023-09-20,선박,수출,82138142.85714285,1327.665,109051937436.42856
188,2023-10-20,선박,수출,107814600.0,1349.9299999999998,145542162977.99997
189,2023-11-20,선박,수출,45916000.0,1300.33,59705952280.0
190,2016-01-10,선박,수출,171401200.0,1192.7266666666667,204434781938.66666
191,2016-02-10,선박,수출,45107875.0,1199.55125,54109207841.09375
192,2016-03-10,선박,수출,101607000.0,1210.0887500000001,122953487621.25002
193,2016-04-10,선박,수출,119483333.33333333,1153.6966666666665,137847523388.88885
194,2016-05-10,선박,수출,77225571.42857143,1161.5485714285714,89701252170.61226
195,2016-06-10,선박,수출,277519428.5714286,1167.2275,323928308812.8572
196,2016-07-10,선박,수출,103055333.33333333,1153.7233333333334,118897342691.11111
